,Method Name,Stealing Dataset Size,Accuracy
0,KnockoffNet,250,0.0030343897505057315
1,KnockoffNet,500,0.0026972353337828725
2,KnockoffNet,1000,0.016183412002697236
3,KnockoffNet,5000,0.0032029669588671613
4,KnockoffNet,10000,0.0035401213755900203
5,KnockoffNet,20000,0.0057316250842886045
6,KnockoffNet,25000,0.0026972353337828725
7,KnockoffNet,40000,0.0064059339177343225
8,KnockoffNet,50000,0.009271746459878624
0,KnockoffNet,250,0.007585974376264329
1,KnockoffNet,500,0.00016857720836142953
2,KnockoffNet,1000,0.0015171948752528658
3,KnockoffNet,5000,0.007417397167902899
4,KnockoffNet,10000,0.0023600809170600135
5,KnockoffNet,20000,0.005900202292650034
6,KnockoffNet,25000,0.005225893459204316
7,KnockoffNet,40000,0.0064059339177343225
8,KnockoffNet,50000,0.027983816587997302
