,Method Name,Stealing Dataset Size,Accuracy
0,KnockoffNet,250,0.004481434058898848
1,KnockoffNet,500,0.008482714468629962
2,KnockoffNet,1000,0.04945582586427657
3,KnockoffNet,5000,0.21702944942381563
4,KnockoffNet,10000,0.14148527528809218
5,KnockoffNet,20000,0.23319462227912932
6,KnockoffNet,25000,0.07010243277848911
7,KnockoffNet,40000,0.22823303457106275
8,KnockoffNet,50000,0.19046094750320103
0,KnockoffNet,250,0.0035211267605633804
1,KnockoffNet,500,0.0033610755441741357
2,KnockoffNet,1000,0.0190460947503201
3,KnockoffNet,5000,0.10179257362355953
4,KnockoffNet,10000,0.028329065300896288
5,KnockoffNet,20000,0.21702944942381563
6,KnockoffNet,25000,0.3452304737516005
7,KnockoffNet,40000,0.14996798975672215
8,KnockoffNet,50000,0.615877080665813
