,Method Name,Stealing Dataset Size,Accuracy
0,KnockoffNet,250,0.3668847508807247
1,KnockoffNet,500,0.1580271766482134
2,KnockoffNet,1000,0.14880053682268077
3,KnockoffNet,5000,0.022982721019963095
4,KnockoffNet,10000,0.14611642341888945
5,KnockoffNet,20000,0.1159201476262372
6,KnockoffNet,25000,0.1350444556282503
7,KnockoffNet,40000,0.12967622882066768
8,KnockoffNet,50000,0.5886596208689817
0,KnockoffNet,250,0.026673376950176145
1,KnockoffNet,500,0.10132528099312196
2,KnockoffNet,1000,0.2922328468377789
3,KnockoffNet,5000,0.07263881899010233
4,KnockoffNet,10000,0.03338366045965442
5,KnockoffNet,20000,0.23955712128837445
6,KnockoffNet,25000,0.36571045126656604
7,KnockoffNet,40000,0.31806743834927026
8,KnockoffNet,50000,0.2397248783761114
