,Method Name,Stealing Dataset Size,Accuracy
0,KnockoffNet,250,0.000335795836131632
1,KnockoffNet,500,0.00587642713230356
2,KnockoffNet,1000,0.0011752854264607119
3,KnockoffNet,5000,0.001343183344526528
4,KnockoffNet,10000,0.048858294157152454
5,KnockoffNet,20000,0.000335795836131632
6,KnockoffNet,25000,0.004533243787777031
7,KnockoffNet,40000,0.018636668905305576
8,KnockoffNet,50000,0.31648757555406315
0,KnockoffNet,250,0.0018468770987239758
1,KnockoffNet,500,0.0023505708529214238
2,KnockoffNet,1000,0.020147750167897917
3,KnockoffNet,5000,0.00587642713230356
4,KnockoffNet,10000,0.007723304231027535
5,KnockoffNet,20000,0.007723304231027535
6,KnockoffNet,25000,0.007723304231027535
7,KnockoffNet,40000,0.0030221625251846875
8,KnockoffNet,50000,0.002182672934855608
