,Method Name,Stealing Dataset Size,Accuracy
0,KnockoffNet,250,0.0
1,KnockoffNet,500,0.00029394473838918284
2,KnockoffNet,1000,0.0
3,KnockoffNet,5000,0.00014697236919459142
4,KnockoffNet,10000,0.003233392122281011
5,KnockoffNet,20000,0.02189888300999412
6,KnockoffNet,25000,0.0029394473838918285
7,KnockoffNet,40000,0.10126396237507349
8,KnockoffNet,50000,0.07466196355085244
0,KnockoffNet,250,0.0
1,KnockoffNet,500,0.0
2,KnockoffNet,1000,0.00029394473838918284
3,KnockoffNet,5000,0.0005878894767783657
4,KnockoffNet,10000,0.0049970605526161085
5,KnockoffNet,20000,0.011022927689594356
6,KnockoffNet,25000,0.08348030570252793
7,KnockoffNet,40000,0.0975896531452087
8,KnockoffNet,50000,0.21634332745443857
