,Method Name,Stealing Dataset Size,Accuracy
0,KnockoffNet,250,0.008615188257817485
1,KnockoffNet,500,0.010848755583918315
2,KnockoffNet,1000,0.021378430121250798
3,KnockoffNet,5000,0.020102105934907466
4,KnockoffNet,10000,0.14725590299936184
5,KnockoffNet,20000,0.029674537332482452
6,KnockoffNet,25000,0.033663050414805364
7,KnockoffNet,40000,0.05408423739629866
8,KnockoffNet,50000,0.26403956604977663
0,KnockoffNet,250,0.01643267389917039
1,KnockoffNet,500,0.05105296745373325
2,KnockoffNet,1000,0.03653477983407786
3,KnockoffNet,5000,0.02169751116783663
4,KnockoffNet,10000,0.0690810465858328
5,KnockoffNet,20000,0.1303446075303127
6,KnockoffNet,25000,0.041799617102744095
7,KnockoffNet,40000,0.11758136566687939
8,KnockoffNet,50000,0.12954690491384813
